child,parent,parent_type,child_prediction,can_reverse
Rufus Sewell,Jo Sewell,mother,Emma Stone,False
Rufus Sewell,Bill Sewell,father,Rufus Sewell,True
Natalie Portman,Shelley Stevens Hershlag,mother,Natalie Portman,True
Natalie Portman,Avner Hershlag,father,Natalie Portman,True
Isabela Merced,Katherine Merced,mother,Becky G,False
Isabela Merced,Patrick Moner,father,Isabela Moner,False
Cate Blanchett,June Blanchett,mother,Cate Blanchett,True
Cate Blanchett,Robert DeWitt Blanchett, Jr.,father,Cate Blanchett,True
Patricia Arquette,Brenda Denaut,mother,Johnny Depp,False
Patricia Arquette,Lewis Arquette,father,Patricia Arquette,True
Sara Ramirez,Luisa Vargas,mother,Cardi B,False
Sara Ramirez,Luis A. Ramirez,father,,False
Emma Roberts,Kelly Cunningham,mother,Emma Roberts,True
Emma Roberts,Eric Roberts,father,Emma Roberts,True
Natalia Tena,Maria Tena,mother,Natalia Tena,True
Natalia Tena,Jesús Andrew Tena,father,Natalia Tena,True
Jessica Brown Findlay,Beverley Findlay,mother,Kate Beckinsale,False
Jessica Brown Findlay,Christopher Findlay,father,,False
Elsa Pataky,Cristina Pataky Medianu,mother,Elsa Pataky,True
Elsa Pataky,José Francisco Lafuente,father,,False
Carla Gugino,Carol Gugino,mother,Carla Gugino,True
Carla Gugino,Carl Gugino,father,Carla Gugino,True
Sofia Boutella,Architect Safy Boutella,mother,Sofia Boutella,True
Sofia Boutella,Safia Boutella,father,Sofia Boutella,True
Lily James,Nina James,mother,,False
Lily James,Jamie Thomson,father,,False
Raegan Revord,Holly Revord,mother,Iain Armitage,False
Mackenzie Davis,Lotte Davis,mother,Kristin Davis,False
Mackenzie Davis,John Davis,father,Kristin Davis,False
Linda Cardellini,Lorraine Cardellini,mother,Linda Cardellini,True
Linda Cardellini,Wayne David Cardellini,father,Linda Cardellini,True
Bruce Willis,Marlene Willis,mother,Bruce Willis,True
Bruce Willis,David Willis,father,Bruce Willis,True
Danna Paola,Patricia Munguia,mother,,False
Danna Paola,Juan José Rivera Arellano,father,Naya Rivera,False
Melissa McCarthy,Sandra McCarthy,mother,Melissa McCarthy,True
Melissa McCarthy,Michael McCarthy,father,Melissa McCarthy,True
Amy Adams,Kathryn Adams,mother,Amy Adams,True
Amy Adams,Richard Kent Adams,father,Amy Adams,True
Chris Evans,Lisa Evans,mother,Chris Evans,True
Chris Evans,Bob Evans,father,Chris Evans,True
Taron Egerton,Christine Egerton,mother,,False
Rachel McAdams,Sandra McAdams,mother,,False
Rachel McAdams,Lance McAdams,father,,False
Rick Hoffman,Gail Hoffman,mother,Dustin Hoffman,False
Rick Hoffman,Charlie Hoffman,father,Dustin Hoffman,False
Sofia Coppola,Eleanor Coppola,mother,Francis Ford Coppola,False
Sofia Coppola,Francis Ford Coppola,father,Nicolas Cage,False
Anne Hathaway,Kate McCauley Hathaway,mother,Anne Hathaway,True
Anne Hathaway,Gerald Hathaway,father,Anne Hathaway,True
Sam Heughan,Chrissie Heughan,mother,Sam Heughan,True
Al Pacino,Rose Gerard Pacino,mother,Al Pacino,True
Al Pacino,Salvatore Pacino,father,Al Pacino,True
Jackie Sandler,Judy Sandler,mother,Adam Sandler,False
Jackie Sandler,Joseph Titone,father,Adam Sandler,False
Sienna Guillory,Isa Guillory,mother,Henry Cavill,False
Sienna Guillory,Isaac Guillory,father,Jacob Guillory,False
Mía Maestro,Carlos Maestro,father,,False
Paul Dano,Gladys Dano,mother,Paul Dano,True
Paul Dano,Paul Dano Sr.,father,Paul Dano,True
Minka Kelly,Maureen Dumont Kelly,mother,Chris Pine,False
Minka Kelly,Rick Dufay,father,Steven Tyler,False
Michelle Pfeiffer,Donna Pfeiffer,mother,Michelle Pfeiffer,True
Michelle Pfeiffer,Richard Pfeiffer,father,Michelle Pfeiffer,True
Ben Barnes,Tricia Barnes,mother,,False
Ben Barnes,Thomas Barnes,father,Ben Barnes,True
Sam Claflin,Sue Claflin,mother,Sam Claflin,True
Sam Claflin,Mark Claflin,father,Sam Claflin,True
Jim Caviezel,Maggie Caviezel,mother,Jim Caviezel,True
Jim Caviezel,James Caviezel Sr.,father,Jim Caviezel,True
Iliza Shlesinger,Ellen Shlesinger,mother,,False
Iliza Shlesinger,Fred Shlesinger,father,Beanie Feldstein,False
Tracy Pollan,Corky Pollan,mother,Michael J. Fox,False
Tracy Pollan,Stephen M. Pollan,father,Michael J. Fox,False
Daniel Kaluuya,Damalie Namusoke,mother,,False
Bradley Cooper,Gloria Campano,mother,Bradley Cooper,True
Bradley Cooper,Charles Cooper,father,Bradley Cooper,True
Adrianne Palicki,Nancy Palicki,mother,Adrianne Palicki,True
Adrianne Palicki,Jeffrey Palicki,father,Adrianne Palicki,True
Katheryn Winnick,Roman Winnick,mother,Katheryn Winnick,True
Katheryn Winnick,Roman Winnick,father,Katheryn Winnick,True
Jensen Ackles,Donna Joan Shaffer-Ackles,mother,Jensen Ackles,True
Jensen Ackles,Alan Roger Ackles,father,Jensen Ackles,True
Steve Zahn,Carleton Edward Zahn,mother,Steve Zahn,True
Steve Zahn,Carleton Edward Zahn,father,Steve Zahn,True
Amber Heard,Paige Parsons,mother,Emma Stone,False
Amber Heard,David Heard,father,Amber Heard,True
Luke Macfarlane,Penny Macfarlane,mother,Seth MacFarlane,False
Luke Macfarlane,Thomas Macfarlane,father,Seth MacFarlane,False
Rashida Jones,Peggy Lipton,mother,Rashida Jones,True
Rashida Jones,Quincy Jones,father,Rashida Jones,True
Alicia Vikander,Maria Fahl Vikander,mother,Alicia Vikander,True
Alicia Vikander,Svante Vikander,father,Alicia Vikander,True
Alexandra Billings,Gail Billings,mother,,False
Sandra Bullock,Helga Mathilde Meyer,mother,Sandra Bullock,True
Sandra Bullock,John W. Bullock,father,Sandra Bullock,True
Abbey Lee,Peter Kershaw,father,,False
Christa Miller,Bonnie Trompeter,mother,,False
Christa Miller,Chuck Miller,father,,False
Lukas Haas,Emily Tracy,mother,Billie Lourd,False
Lukas Haas,Berthold Haas,father,Lukas Haas,True
Javier Bardem,Pilar Bardem,mother,Javier Bardem,True
Javier Bardem,Carlos Encinas Bardem,father,Javier Bardem,True
Sasha Lane,Judith Lane,mother,Jake Gyllenhaal,False
Rupert Friend,Caroline Friend,mother,Emma Watson,False
Rupert Friend,David Oxton Friend,father,David Oxton Friend's most famous child is actor Charlie Cox.,False
Ashley Johnson,Nancy Johnson,mother,Jake Gyllenhaal,False
Ashley Johnson,Cliff Johnson,father,Dwayne "The Rock" Johnson,False
Priyanka Chopra Jonas,Madhu Chopra,mother,Priyanka Chopra Jonas,True
Priyanka Chopra Jonas,Ashok Chopra,father,Priyanka Chopra Jonas,True
Blake Lively,Elaine Lively,mother,Blake Lively,True
Blake Lively,Ernie Lively,father,Blake Lively,True
Vanessa Ray,Valerie Liptak,mother,Mila Kunis,False
Vanessa Ray,James Lipton,father,,False
Emma Watson,Jacqueline Luesby,mother,Emma Watson,True
Emma Watson,Chris Watson,father,Emma Watson,True
Karl Urban,Joyce Urban,mother,Katy Perry,False
Karl Urban,Jurgen Urban,father,,False
Josh Lucas,Michele LeFevre,mother,Kristen Stewart,False
Josh Lucas,Don Maurer,father,,False
Angelina Jolie,Marcheline Bertrand,mother,Angelina Jolie,True
Angelina Jolie,Jon Voight,father,Angelina Jolie,True
Carolina Miranda,Martha Carrillo,mother,,False
Joey King,Terry King,mother,Joaquin Phoenix,False
Joey King,Terry King,father,Jaime King,False
Gillian Jacobs,Marta Jacobs,mother,,False
Gillian Jacobs,William F. Jacobs Jr.,father,Gillian Jacobs,True
Andrea Riseborough,Isobel Riseborough,mother,Andrea Riseborough,True
Andrea Riseborough,George Riseborough,father,Andrea Riseborough,True
Clancy Brown,Joyce Helen Eldridge,mother,Patrick Stewart,False
Clancy Brown,Bud Brown,father,Nicole Brown Simpson,False
Jennifer Love Hewitt,Patricia Mae Hewitt,mother,Jennifer Love Hewitt,True
Jennifer Love Hewitt,Herbert Daniel Hewitt,father,Jennifer Love Hewitt,True
Luna Lauren Velez,Andrés Vélez,father,,False
Charlie Day,Mary Day,mother,Chris Evans,False
Charlie Day,Dr. Thomas Charles Day,father,Charlie Day,True
Dakota Fanning,Heather Joy Arrington,mother,Shailene Woodley,False
Dakota Fanning,Steven Fanning,father,Dakota Fanning,True
Alexander Ludwig,Sharlene Martin,mother,KJ Apa,False
Alexander Ludwig,Harald Ludwig,father,Katharine Weymouth,False
Ariana Greenblatt,Sol Greenblatt,mother,Jeff Greenblatt,False
Ariana Greenblatt,Shon Greenblatt,father,,False
Liam Neeson,Bernard Neeson,father,Liam Neeson,True
Jennifer Aniston,Nancy Dow,mother,Jennifer Aniston,True
Jennifer Aniston,John Aniston,father,Jennifer Aniston,True
Donnie Yen,Bow-sim Mark,mother,Donnie Yen,True
Donnie Yen,Klyster Yen,father,Donnie Yen,True
Greta Gerwig,Christine Gerwig,mother,Greta Gerwig,True
Greta Gerwig,Gordon Gerwig,father,Greta Gerwig,True
Michael J. Fox,Phyllis Piper,mother,Billie Piper,False
Michael J. Fox,William Fox,father,Megan Fox,False
Jon Bernthal,Joan Lurie Bernthal,mother,Jon Bernthal,True
Jon Bernthal,Eric Bernthal,father,Jon Bernthal,True
Jack Quaid,Meg Ryan,mother,Jack Quaid,True
Jack Quaid,Dennis Quaid,father,Jack Quaid,True
Pete Davidson,Amy Waters Davidson,mother,Pete Davidson,True
Pete Davidson,Scott Davidson,father,Pete Davidson,True
Will Smith,Caroline Bright,mother,Anne Hathaway,False
Will Smith,Willard Carroll Smith Sr.,father,Will Smith,True
Léa Seydoux,Valérie Schlumberger,mother,Léa Seydoux,True
Léa Seydoux,Henri Seydoux,father,Léa Seydoux,True
Zachary Levi,Susan Pugh,mother,Dakota Johnson,False
Zachary Levi,Darrell Pugh,father,Eminem,False
Val Kilmer,Gladys Swanette Ekstadt,mother,Matthew McConaughey,False
Val Kilmer,Eugene Kilmer,father,Val Kilmer,True
Olivia Wilde,Leslie Cockburn,mother,Olivia Wilde,True
Olivia Wilde,Andrew Cockburn,father,Olivia Wilde,True
Meagan Good,Tyra Wardlow-Doyle,mother,Billie Eilish,False
Eliza Dushku,Judith Rasmussen,mother,Scarlett Johansson,False
Eliza Dushku,Philip R. Dushku,father,Eliza Dushku,True
Rachel Weisz,Edith Ruth Weisz,mother,Rachel Weisz,True
Rachel Weisz,George Weisz,father,Rachel Weisz,True
Joaquin Phoenix,Arlyn Phoenix,mother,Joaquin Phoenix,True
Joaquin Phoenix,John Lee Bottom,father,Joaquin Phoenix,True
Charlie Hunnam,Jane Bell,mother,Chris Pine,False
Charlie Hunnam,William Hunnam,father,Charlie Hunnam,True
Sigourney Weaver,Elizabeth Inglis,mother,Sigourney Weaver,True
Sigourney Weaver,Sylvester L. Weaver Jr.,father,Sigourney Weaver,True
Seth Rogen,Sandy Rogen,mother,Seth Rogen,True
Seth Rogen,Mark Rogen,father,Seth Rogen,True
Elle Fanning,Heather Joy Arrington,mother,Shailene Woodley,False
Elle Fanning,Steven Fanning,father,Dakota Fanning,False
Jon Hamm,Deborah Hamm,mother,Chris Evans,False
Jon Hamm,Daniel Hamm,father,Jon Hamm,True
David Tennant,Helen McLeod,mother,,False
David Tennant,Sandy McDonald,father,David Tennant,True
Maisie Williams,Hilary Williams,mother,Maisie Williams,True
Maisie Williams,Hilary Francis Williams,father,Robbie Williams,False
Christina Ricci,Sarah Ricci,mother,Christina Ricci,True
Christina Ricci,Ralph Ricci,father,Christina Ricci,True
Lily Rabe,Jill Clayburgh,mother,Lily Rabe,True
Lily Rabe,David Rabe,father,Lily Rabe,True
Kate Beckinsale,Judy Loe,mother,Kate Beckinsale,True
Kate Beckinsale,Richard Beckinsale,father,Kate Beckinsale,True
Tia Carrere,Audrey Duhinio Janairo,mother,Tia Carrere,True
Tia Carrere,Alexander Janairo,father,Tia Carrere,True
Abigail Breslin,Kim Breslin,mother,Abigail Breslin,True
Abigail Breslin,Michael Breslin,father,Abigail Breslin,True
Natalie Morales,Penelope Morales,mother,,False
Natalie Morales,Lieutenant Colonel Mario Morales, Jr.,father,Bruno Mars,False
Jodie Whittaker,Adrian Whittaker,father,Ellie Goulding,False
Laura Linney,Miriam Anderson Linney,mother,Laura Linney,True
Laura Linney,Romulus Linney,father,Laura Linney,True
Odessa A’zion,Pamela Adlon,mother,Gideon Adlon,False
Odessa A’zion,Pamela Adlon,father,Gideon Adlon,False
Pier Angeli,Enrichetta Romiti,mother,Giorgio Armani,False
Pier Angeli,Enrico Angeli,father,Laura Pausini,False
Michael Biehn,Marcia Biehn,mother,Michael Biehn,True
Michael Biehn,Don Biehn,father,Michael Biehn,True
Sarah Shahi,Mah Monir Soroush Azar,mother,Yara Shahidi,False
Sarah Shahi,Abbas Jahansouz Shahi,father,Sarah Shahi,True
Sean Patrick Flanery,Genie Flanery,mother,Sarah Michelle Gellar,False
Sean Patrick Flanery,Paul Flanery,father,Sean Patrick Flanery,True
Kaitlyn Dever,Kathy Dever,mother,Cameron Boyce,False
Kaitlyn Dever,Tim Dever,father,Laura Dern,False
Bruce Campbell,Joanne Louise Campbell,mother,Naomi Campbell,False
Bruce Campbell,Charles Newton Campbell,father,Neve Campbell,False
Jason Isaacs,Sheila Isaacs,mother,Sacha Baron Cohen,False
Jason Isaacs,Eric Isaacs,father,,False
Robin Williams,Laurie Williams,mother,Allison Williams,False
Robin Williams,Robert Fitzgerald Williams,father,Robin Williams,True
Lena Headey,Sue Headey,mother,Lena Headey,True
Lena Headey,John Headey,father,Lena Headey,True
Jay Baruchel,Robyne Baruchel,mother,Jay Baruchel,True
Jay Baruchel,Serge Baruchel,father,Jay Baruchel,True
Brittany Snow,Cinda Snow,mother,Brittany Snow,True
Brittany Snow,John Snow,father,,False
Luna Blaise,Angelyna Martinez,mother,,False
Luna Blaise,Paul Boyd,father,Brandon Boyd,False
Jacob Elordi,Melissa Elordi,mother,Jacob Elordi,True
Jacob Elordi,John Elordi,father,Jacob Elordi,True
Bailee Madison,Patricia Riley,mother,Leonardo DiCaprio,False
Bailee Madison,Michael Shawn Riley,father,,False
Adam Driver,Nancy Wright,mother,Rob Lowe,False
Adam Driver,Joe Douglas Driver,father,Adam Driver,True
Alison Brie,Joanne Brenner,mother,,False
Alison Brie,Charles Schermerhorn,father,Anderson Cooper,False
Toby Kebbell,Michelle Mathers,mother,Eminem,False
Toby Kebbell,Robert Kebbell,father,Toby Kebbell,True
Will Arnett,Edith Alexandra Palk,mother,Rachel Weisz,False
Will Arnett,Emerson James Arnett,father,Will Arnett,True
Tessa Thompson,Marc Anthony Thompson,mother,Tessa Thompson,True
Tessa Thompson,Marc Anthony Thompson,father,Tessa Thompson,True
Jamie Dornan,Lorna Dornan,mother,Jamie Dornan,True
Jamie Dornan,Jim Dornan,father,Jamie Dornan,True
Stephen Lang,Theresa Volmer,mother,,False
Stephen Lang,Eugene Lang,father,Jane Lang.,False
James Spader,Jean Fraser Spader,mother,James Spader,True
James Spader,Stoddard Greenwood Spader,father,James Spader,True
Nicholas Braun,Elizabeth Lyle Braun,mother,Mandy Moore,False
Nicholas Braun,Craig Braun,father,Ethan Suplee,False
Hugh Jackman,Grace McNeil,mother,,False
Hugh Jackman,Christopher John Jackman,father,Hugh Jackman,True
Daniel Day-Lewis,Jill Balcon,mother,Daniel Day-Lewis,True
Daniel Day-Lewis,Cecil Day-Lewis,father,Daniel Day-Lewis,True
Keira Knightley,Sharman Macdonald,mother,Keira Knightley,True
Keira Knightley,Will Knightley,father,Keira Knightley,True
Kristen Bell,Lorelei Bell,mother,Kristen Bell,True
Kristen Bell,Tom Bell,father,Kristen Bell,True
Jim Carrey,Kathleen Carrey,mother,Jim Carrey,True
Jim Carrey,Percy Carrey,father,Jim Carrey,True
Gary Oldman,Kathleen Oldman,mother,Gary Oldman,True
Gary Oldman,Leonard Bertram Oldman,father,Gary Oldman,True
Jodie Comer,Donna Comer,mother,Machine Gun Kelly,False
Jodie Comer,Don Comer,father,,False
Carrie Preston,Linda Barbara Preston,mother,Jennifer Aniston,False
Mariette Hartley,Polly Cornwell,mother,Scott Eastwood,False
Mariette Hartley,Paul Hembree Hartley,father,Melissa Joan Hart,False
Stephen Dorff,Nancy Dorff,mother,Stephen Dorff,True
Stephen Dorff,Steve Dorff,father,Stephen Dorff,True
Ralph Fiennes,Jennifer Lash,mother,Ralph Fiennes,True
Ralph Fiennes,Mark Fiennes,father,Ralph Fiennes,True
Sean Connery,Joseph Connery,father,Sean Connery,True
Alice Eve,Sharon Maughan,mother,Alice Eve,True
Alice Eve,Trevor Eve,father,Alice Eve,True
Sam Elliott,Glynn Mamie Sparks,mother,Jamie Foxx,False
Sam Elliott,Henry Nelson Elliott,father,Meghan Markle,False
Kirsten Dunst,Inez Rupprecht,mother,,False
Kirsten Dunst,Klaus Dunst,father,Kirsten Dunst,True
Sasha Alexander,Sofija Kukavica,mother,Novak Djokovic,False
Sasha Alexander,Slobodan Drobnjak,father,,False
Liana Liberato,Rhondelle Liberato,mother,Liana Liberato,True
Liana Liberato,George Liberato,father,,False
Jennette McCurdy,Debra McCurdy,mother,Jennette McCurdy,True
Jennette McCurdy,Mark McCurdy,father,Jennette McCurdy,True
Harold Perrineau,Sylvia Perrineau,mother,Harold Perrineau,True
Harold Perrineau,Harold Williams,father,Pharrell Williams,False
Katy Mixon,Donna Mixon,mother,Channing Tatum,False
Katy Mixon,Fred Mixon,father,Katy Mixon,True
Jessica Chastain,Jerri Chastain,mother,Jessica Chastain,True
Jessica Chastain,Michael Monasterio,father,Chris Pine,False
Luke Grimes,Angie Barker,mother,,False
Luke Grimes,Randy Grimes,father,Brooke Hogan,False
Bryan Cranston,Audrey Peggy Sell,mother,Russell Crowe,False
Bryan Cranston,Joe Cranston,father,Bryan Cranston,True
Robert Pattinson,Clare Pattinson,mother,Robert Pattinson,True
Robert Pattinson,Richard Pattinson,father,Robert Pattinson,True
Skyler Gisondo,Stacey Gisondo,mother,Skyler Gisondo,True
Skyler Gisondo,Stu Gisondo,father,Skyler Gisondo,True
Elizabeth Debicki,Piotr Debicki,father,Elizabeth Debicki,True
Ke Huy Quan,Quan Y Huy,father,Karrueche Tran,False
Emma Heming Willis,Zorina Heming,mother,Naomi Scott,False
Sophie Thatcher,Robert Thatcher,father,,False
Zoe Perry,Laurie Metcalf,mother,Zoe Perry,True
Zoe Perry,Jeff Perry,father,Zoe Perry,True
Kate Capshaw,Beverly Sue Simon,mother,Britney Spears,False
Kate Capshaw,Edwin Leon Nail,father,Matthew McConaughey,False
Kelly Preston,Linda Carlson,mother,Kristen Bell,False
Kelly Preston,Peter Palzis,father,Katherine Heigl,False
Nathan Fillion,Cookie Fillion,mother,Nathan Fillion,True
Nathan Fillion,Bob Fillion,father,Nathan Fillion,True
Marisa Tomei,Addie Tomei,mother,Marisa Tomei,True
Marisa Tomei,Gary A. Tomei,father,Marisa Tomei,True
Olivia Cooke,Lindsy Wild,mother,,False
Olivia Cooke,John Cooke,father,,False
Bridget Regan,Mary Catherine Regan,mother,Julianne Moore,False
Bridget Regan,Jim Regan,father,Amy Poehler,False
Hope Davis,Joan Davis,mother,Clive Davis,False
Hope Davis,William Davis,father,Kristin Davis,False
Gemma Arterton,Sally-Anne Heap,mother,Ed Sheeran,False
Gemma Arterton,Barry Arterton,father,Gemma Arterton,True
Mads Mikkelsen,Bente Christiansen,mother,Mads Mikkelsen,True
Mads Mikkelsen,Henning Mikkelsen,father,Mads Mikkelsen,True
Yvonne Strahovski,Bozena Strahovski,mother,Yvonne Strahovski,True
Yvonne Strahovski,Peter Strzechowski,father,Yvonne Strahovski,True
Lance Reddick,Doris Reddick,mother,Vin Diesel,False
Anna Kendrick,Janice Kendrick,mother,,False
Anna Kendrick,William Kendrick,father,Anna Kendrick,True
Saoirse Ronan,Monica Ronan,mother,Saoirse Ronan,True
Saoirse Ronan,Paul Ronan,father,Saoirse Ronan,True
Adrien Brody,Sylvia Plachy,mother,Adrien Brody,True
Adrien Brody,Elliot Brody,father,Adrien Brody,True
Joel Edgerton,Marianne Edgerton,mother,,False
Joel Edgerton,Michael Edgerton,father,Joel Edgerton,True
Jamie Lee Curtis,Janet Leigh,mother,Jamie Lee Curtis,True
Jamie Lee Curtis,Tony Curtis,father,Jamie Lee Curtis,True
Bella Ramsey,Alex Ramsey,father,,False
Jack Nicholson,June Frances Nicholson,mother,Jack Nicholson,True
Jack Nicholson,Donald Furcillo,father,Jamie Lee Curtis,False
Michelle Yeoh,Janet Yeoh,mother,Michelle Yeoh,True
Michelle Yeoh,Yeoh Kian Teik,father,Michelle Yeoh,True
Tom Pelphrey,Richard Pelphrey,father,Jonny Lee Miller,False
Anthony Ramos,Mildred Ramos,mother,,False
Jane Russell,Geraldine Jacobi,mother,,False
Jane Russell,Roy William Russell,father,Kurt Russell,False
Maria Bello,Kathy Bello,mother,Demi Lovato,False
Maria Bello,Joe Bello,father,Maria Bello,True
Kirk Fox,Joyce Fox,mother,Megan Fox,False
Kirk Fox,Gardner Fox,father,,False
Britt Robertson,Beverly Robertson,mother,Julia Roberts,False
Britt Robertson,Ryan Robertson,father,,False
Laura Benanti,Linda Wonneberger,mother,,False
Laura Benanti,Martin Vidnovic,father,Laura Benanti,True
Harry Melling,Joanne Melling,mother,Louis Tomlinson,False
Harry Melling,Paul Melling,father,,False
Isabella Rossellini,Ingrid Bergman,mother,Isabella Rossellini,True
Isabella Rossellini,Roberto Rossellini,father,Isabella Rossellini,True
Gina Torres,Rebecca Torres,mother,,False
Gina Torres,Richard Torres,father,,False
Bella Thorne,Tamara Thorne,mother,Bella Thorne,True
Julia Roberts,Betty Lou Bredemus,mother,Julia Roberts,True
Julia Roberts,Walter Grady Roberts,father,Julia Roberts,True
Bob Odenkirk,Barbara Odenkirk,mother,Bob Odenkirk,True
Bob Odenkirk,Walter Odenkirk,father,Bob Odenkirk,True
Woody Harrelson,Diane Lou Oswald,mother,Leonardo DiCaprio,False
Woody Harrelson,Charles Harrelson,father,Woody Harrelson,True
Ridley Scott,Elizabeth Jean Scott,mother,Brad Pitt,False
Ridley Scott,Francis Percy Scott,father,Sting (Gordon Matthew Thomas Sumner),False
Amanda Schull,Susan Schull,mother,Jonathan Groff,False
Robert Carlyle,Elizabeth McDonald,mother,Hugh Jackman,False
Robert Carlyle,Joseph Carlyle,father,,False
Edward Norton,Lydia Robinson Norton,mother,Edward Norton,True
Edward Norton,Edward Mower Norton Jr.,father,Edward Norton,True
Bel Powley,Janis Jaffa,mother,Amy Winehouse,False
Bel Powley,Mark Powley,father,Billie Piper,False
Bill Paxton,Mary Lou Paxton,mother,Bill Paxton,True
Bill Paxton,John Lane Paxton,father,Bill Paxton,True
Dakota Johnson,Melanie Griffith,mother,Dakota Johnson,True
Dakota Johnson,Don Johnson,father,Dakota Johnson,True
Anna Torv,Susan Torv,mother,Anna Torv,True
Anna Torv,Hans Torv,father,Anna Torv,True
Benjamin Walker,Jeannine Walker,mother,Paul Walker,False
Benjamin Walker,Greg Walker,father,,False
Hunter Schafer,Katy Schafer,mother,,False
Hunter Schafer,Mac Schafer,father,,False
Nicole Ari Parker,Susan Parker,mother,,False
Nicole Ari Parker,Donald Parker,father,,False
Errol Flynn,Marelle Young,mother,Chris Hemsworth,False
Errol Flynn,Theodore Thomson Flynn,father,Errol Flynn,True
Annie Wersching,Sandy Wersching,mother,Annie Wersching,True
Annie Wersching,Frank Wersching Jr.,father,Annie Wersching,True
Bill Hader,Sherri Renee Hader,mother,Bill Hader,True
Bill Hader,William Thomas Hader Sr.,father,Bill Hader,True
Kaya Scodelario,Katia Scodelario,mother,Kaya Scodelario,True
Kaya Scodelario,Roger Humphrey,father,,False
Sadie Frost,Mary Davidson,mother,Katy Perry,False
Sadie Frost,David Vaughan,father,Daniel Craig,False
Sadie Stanley,Matt Stanley,father,,False
Christina Hendricks,Jackie Sue Raymond,mother,Jennifer Aniston,False
Christina Hendricks,Robert Hendricks,father,,False
Colin Farrell,Rita Farrell,mother,Colin Farrell,True
Colin Farrell,Eamon Farrell,father,Colin Farrell,True
Michael B. Jordan,Donna Jordan,mother,Michael B. Jordan,True
Michael B. Jordan,Michael A. Jordan,father,Michael B. Jordan,True
John Travolta,Helen Travolta,mother,John Travolta,True
John Travolta,Salvatore Travolta,father,John Travolta,True
Mamoudou Athie,El Hadj Athie,father,Akon,False
Adria Arjona,Leslie Torres,mother,,False
Adria Arjona,Ricardo Arjona,father,Ricardo Arjona Jr.,False
Miles Teller,Merry Flowers,mother,Emma Stone,False
Miles Teller,Mike Teller,father,Miles Teller,True
Annie Potts,Dorothy Harris Potts,mother,Sharon Stone,False
Annie Potts,Powell Grisette Potts,father,,False
Leslie Bibb,Betty Blakemore Sulzbach,mother,Reese Witherspoon,False
Steve Carell,Harriet Theresa Carell,mother,Steve Carell,True
Steve Carell,Edwin A. Carell,father,Steve Carell,True
Katherine Heigl,Nancy Heigl,mother,Katherine Heigl,True
Katherine Heigl,Paul Heigl,father,Katherine Heigl,True
M. Night Shyamalan,Jayalakshmi Shyamalan,mother,M. Night Shyamalan,True
M. Night Shyamalan,Nelliate C. Shyamalan,father,M. Night Shyamalan,True
Sarah Jessica Parker,Barbara Parker,mother,Naomi Watts,False
Sarah Jessica Parker,Stephen Parker,father,Sarah Jessica Parker,True
Zooey Deschanel,Mary Jo Deschanel,mother,Zooey Deschanel,True
Zooey Deschanel,Caleb Deschanel,father,Zooey Deschanel,True
David Harbour,Kenneth Harbour,father,David Harbour,True
Molly C. Quinn,Dianne Quinn,mother,Zac Efron,False
Molly C. Quinn,Tom Quinn,father,,False
Cara Delevingne,Pandora Delevingne,mother,Cara Delevingne,True
Cara Delevingne,Charles Delevingne,father,Cara Delevingne,True
Andrew Garfield,Lynn Garfield,mother,Jesse Eisenberg,False
Andrew Garfield,Richard Garfield,father,,False
Daniel Radcliffe,Marcia Gresham,mother,Daniel Radcliffe,True
Daniel Radcliffe,Alan Radcliffe,father,Daniel Radcliffe,True
Julie Bowen,Suzanne Frey Bowen,mother,Julie Bowen,True
Julie Bowen,John Alexander Luetkemeyer Jr.,father,Abigail Spencer,False
Diane Lane,Colleen Farrington,mother,Diane Lane,True
Diane Lane,Burt Lane,father,Diane Lane,True
Connie Nielsen,Laila Nielsen,mother,,False
Connie Nielsen,Bent Nielsen,father,Brigitte Nielsen,False
Abbie Cornish,Shelley Cornish,mother,Abbie Cornish,True
Abbie Cornish,Barry Cornish,father,Abbie Cornish,True
Daniel Craig,Olivia Craig,mother,Daniel Craig,True
Daniel Craig,Tim Craig,father,Daniel Craig,True
Common,Dr. Mahalia Ann Hines,mother,Common,True
Common,Lonnie Lynn Sr.,father,Common,True
Danny McBride,Kathy Rudy,mother,,False
Danny McBride,Jim McBride,father,Martie Maguire,False
Jake Johnson,Eve Johnson,mother,Dakota Johnson,False
Jake Johnson,Ken Weinberger,father,,False
Stanley Tucci,Joan Tucci,mother,Stanley Tucci,True
Stanley Tucci,Stanley Tucci, Sr.,father,Stanley Tucci,True
Julia Stiles,Judith Newcomb Stiles,mother,Julia Stiles,True
Julia Stiles,John O'Hara,father,Catherine O'Hara,False
Paul Mescal,Dearbhla Mescal,mother,Paul Mescal,True
Charlie Murphy,Lillian Murphy,mother,,False
Charlie Murphy,Charles Edward Murphy,father,Eddie Murphy,False
Ethan Hawke,Leslie Hawke,mother,Ethan Hawke,True
Ethan Hawke,James Steven Hawke,father,Ethan Hawke,True
Jordana Brewster,Maria João Brewster,mother,Jordana Brewster,True
Jordana Brewster,Alden Brewster,father,Jordana Brewster,True
Helen Mirren,Kathleen Alexandrina Eva Matilda Rogers,mother,Audrey Hepburn,False
Helen Mirren,Vasily Petrovich Mironoff,father,Helen Mirren,True
Virginia Gardner,Sarah Gardner,mother,,False
